country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-01,100.721,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-02,100.7941,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-03,100.8792,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-04,100.8975,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-05,100.8695,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-06,100.7773,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-07,100.6471,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.488,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.4579,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-10,100.5235,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-11,100.664,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-12,100.7709,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-01,100.7044,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-02,100.2085,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-03,99.13885,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-04,97.99734,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-05,97.64369,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-06,97.85627,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.13993,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-08,98.39388,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.60372,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-10,98.67445,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-11,98.6786,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-12,98.79594,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-01,98.94515,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-02,99.23526,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.66113,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-04,100,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-05,100.258,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-06,100.421,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-07,100.3209,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-08,100.0676,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-09,99.88422,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-10,99.6802,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-11,99.43911,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-12,99.19703,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-01,98.8663,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-02,98.40463,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-03,97.86287,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-04,97.46915,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-05,97.09393,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-06,96.72178,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-07,96.522,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-08,96.52275,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-09,96.52524,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-10,96.5984,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-11,96.75998,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-12,97.03023,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2023-01,97.375,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-01,99.77523,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-02,99.64234,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-03,99.63206,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-04,99.7918,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-05,100.0305,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-06,100.1146,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-07,100.1573,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-08,99.96255,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-09,99.91811,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-10,100.0205,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-11,100.3356,
UK,CCI,AMPLITUD,LTRENDIDX,M,2019-12,100.688,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-01,100.8139,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-02,100.4505,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-03,99.36619,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-04,97.80163,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-05,97.03444,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-06,97.17534,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-07,97.67546,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-08,97.88712,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-09,97.70723,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-10,97.36565,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-11,97.26718,
UK,CCI,AMPLITUD,LTRENDIDX,M,2020-12,97.68346,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-01,98.27967,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-02,99.36153,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-03,100.6814,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-04,101.7206,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-05,102.5141,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-06,102.8709,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-07,102.8147,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-08,102.2927,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-09,101.4264,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-10,100.7086,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-11,100.3756,
UK,CCI,AMPLITUD,LTRENDIDX,M,2021-12,99.89042,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-01,98.86066,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-02,97.32856,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-03,95.76131,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-04,94.43904,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-05,93.65772,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-06,93.2321,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-07,92.88728,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-08,92.35944,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-09,91.93556,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-10,92.07172,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-11,92.51745,
UK,CCI,AMPLITUD,LTRENDIDX,M,2022-12,92.82932,
UK,CCI,AMPLITUD,LTRENDIDX,M,2023-01,92.89981,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-01,101.0002,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-02,101.0547,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-03,101.2742,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-04,101.435,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-05,101.5235,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-06,101.4291,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-07,101.1957,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.8978,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.8977,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-10,101.1019,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-11,101.3722,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-12,101.6014,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-01,101.5998,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-02,101.1691,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-03,100.165,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-04,99.07283,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-05,98.56973,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-06,98.51965,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.53704,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-08,98.74008,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-09,99.05441,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-10,99.20405,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-11,99.16069,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-12,99.16377,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-01,99.16989,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-02,99.31033,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.67888,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-04,99.92469,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-05,99.86562,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-06,99.65443,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-07,99.18345,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-08,98.61077,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-09,98.31012,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-10,98.12232,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-11,97.95897,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-12,97.85689,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-01,97.6203,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-02,97.31078,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-03,97.0717,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-04,96.90445,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-05,96.49539,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-06,96.08616,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-07,96.05842,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-08,96.32501,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-09,96.53947,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-10,96.64154,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-11,96.69122,
USA,CCI,AMPLITUD,LTRENDIDX,M,2022-12,96.91212,
USA,CCI,AMPLITUD,LTRENDIDX,M,2023-01,97.27818,
